DATE-YMD,OTHR= SeaWinds scalar Windspeed (m/s),
1998-01-15,       4.734,
1998-02-15,       3.811,
1998-03-15,       4.853,
1998-04-15,       7.892,
1998-05-15,       6.987,
1998-06-15,       6.656,
1998-07-15,       5.475,
1998-08-15,       5.756,
1998-09-15,       5.912,
1998-10-15,       5.532,
1998-11-15,       4.255,
1998-12-15,       6.089,
1999-01-15,       5.893,
1999-02-15,       7.096,
1999-03-15,       7.328,
1999-04-15,       6.997,
1999-05-15,       7.278,
1999-06-15,       7.327,
1999-07-15,       6.386,
1999-08-15,       6.172,
1999-09-15,       6.603,
1999-10-15,       7.173,
1999-11-15,       5.723,
1999-12-15,       6.406,
2000-01-15,       6.249,
2000-02-15,       5.158,
2000-03-15,       5.686,
2000-04-15,       7.705,
2000-05-15,       8.029,
2000-06-15,       7.642,
2000-07-15,       7.621,
2000-08-15,       7.044,
2000-09-15,       7.285,
2000-10-15,       7.375,
2000-11-15,       6.211,
2000-12-15,       5.981,
2001-01-15,       6.509,
2001-02-15,       5.490,
2001-03-15,       7.194,
2001-04-15,       7.724,
2001-05-15,       8.192,
2001-06-15,       7.967,
2001-07-15,       7.085,
2001-08-15,       6.807,
2001-09-15,       6.944,
2001-10-15,       6.417,
2001-11-15,       6.526,
2001-12-15,       4.602,
2002-01-15,       6.393,
2002-02-15,       5.853,
2002-03-15,       6.752,
2002-04-15,       7.233,
2002-05-15,       8.024,
2002-06-15,       7.932,
2002-07-15,       8.000,
2002-08-15,       7.148,
2002-09-15,       6.482,
2002-10-15,       6.423,
2002-11-15,       6.468,
2002-12-15,       4.546,
2003-01-15,       6.934,
2003-02-15,       7.197,
2003-03-15,       6.262,
2003-04-15,       7.624,
2003-05-15,       7.390,
2003-06-15,       7.652,
2003-07-15,       6.928,
2003-08-15,       6.160,
2003-09-15,       6.266,
2003-10-15,       6.772,
2003-11-15,       6.191,
2003-12-15,       4.534,
2004-01-15,       6.556,
2004-02-15,       5.253,
2004-03-15,       6.500,
2004-04-15,       7.803,
2004-05-15,       7.803,
2004-06-15,       7.842,
2004-07-15,       6.529,
2004-08-15,       6.599,
2004-09-15,       7.089,
2004-10-15,       6.619,
2004-11-15,       4.738,
2004-12-15,       6.539,
2005-01-15,       5.944,
2005-02-15,       6.301,
2005-03-15,       6.331,
2005-04-15,       8.177,
2005-05-15,       7.939,
2005-06-15,       6.976,
2005-07-15,       7.702,
2005-08-15,       6.955,
2005-09-15,       6.810,
2005-10-15,       6.310,
2005-11-15,       6.397,
2005-12-15,       5.404,
2006-01-15,       6.992,
2006-02-15,       6.545,
2006-03-15,       6.455,
2006-04-15,       8.124,
2006-05-15,       7.698,
2006-06-15,       8.282,
2006-07-15,       7.258,
2006-08-15,       6.765,
2006-09-15,       6.268,
2006-10-15,       6.834,
2006-11-15,       4.953,
2006-12-15,       6.274,
2007-01-15,       5.273,
2007-02-15,       6.670,
2007-03-15,       7.504,
2007-04-15,       8.094,
2007-05-15,       7.490,
2007-06-15,       8.108,
2007-07-15,       6.392,
2007-08-15,       7.220,
2007-09-15,       6.353,
2007-10-15,       7.529,
2007-11-15,       5.910,
2007-12-15,       5.591,
2008-01-15,       5.257,
2008-02-15,       5.992,
2008-03-15,       6.504,
2008-04-15,       7.461,
2008-05-15,       7.897,
2008-06-15,       7.823,
2008-07-15,       7.239,
2008-08-15,       6.385,
2008-09-15,       6.840,
2008-10-15,       7.328,
2008-11-15,       5.938,
2008-12-15,       6.512,
2009-01-15,       7.122,
2009-02-15,       7.221,
2009-03-15,       6.486,
2009-04-15,       8.391,
2009-05-15,       8.605,
2009-06-15,       7.212,
2009-07-15,       6.712,
2009-08-15,       6.902,
2009-09-15,       6.314,
2009-10-15,       7.101,
2009-11-15,       5.626,
2009-12-15,       4.294,
2010-01-15,       4.769,
2010-02-15,       4.712,
2010-03-15,       6.905,
2010-04-15,       6.537,
2010-05-15,       7.719,
2010-06-15,       7.593,
2010-07-15,       7.165,
2010-08-15,       6.383,
2010-09-15,       6.263,
2010-10-15,       6.336,
2010-11-15,       4.302,
2010-12-15,       5.815,
2011-01-15,       4.899,
2011-02-15,       6.624,
2011-03-15,       8.032,
2011-04-15,       6.925,
2011-05-15,       7.661,
2011-06-15,       7.308,
2011-07-15,       7.854,
2011-08-15,       6.835,
2011-09-15,       7.482,
2011-10-15,       5.295,
2011-11-15,       6.908,
2011-12-15,       5.406,
2012-01-15,       5.519,
2012-02-15,       7.314,
2012-03-15,       5.383,
2012-04-15,       7.688,
2012-05-15,       7.231,
2012-06-15,       6.997,
2012-07-15,       6.172,
2012-08-15,       5.825,
2012-09-15,       6.206,
2012-10-15,       6.345,
2012-11-15,       6.239,
2012-12-15,       5.302,
2013-01-15,       5.512,
2013-02-15,       5.897,
2013-03-15,       6.061,
2013-04-15,       6.892,
2013-05-15,       7.568,
2013-06-15,       8.207,
2013-07-15,       7.320,
2013-08-15,       6.038,
2013-09-15,       7.072,
2013-10-15,       6.984,
2013-11-15,       5.961,
2013-12-15,       5.683,
2014-01-15,       6.535,
2014-02-15,       7.164,
2014-03-15,       6.794,
2014-04-15,       6.552,
2014-05-15,       7.613,
2014-06-15,       7.984,
2014-07-15,       7.421,
2014-08-15,       6.086,
2014-09-15,       6.860,
2014-10-15,       6.125,
2014-11-15,       5.956,
2014-12-15,       5.869,
2015-01-15,       6.437,
2015-02-15,       7.172,
2015-03-15,       6.205,
2015-04-15,       8.050,
2015-05-15,       6.825,
2015-06-15,       8.127,
2015-07-15,       6.350,
2015-08-15,       5.961,
2015-09-15,       6.272,
2015-10-15,       5.548,
2015-11-15,       5.974,
2015-12-15,       3.930,
2016-01-15,       4.955,
2016-02-15,       6.999,
2016-03-15,       6.976,
2016-04-15,       7.918,
2016-05-15,       7.656,
2016-06-15,       6.629,
2016-07-15,       5.703,
2016-08-15,       5.599,
2016-09-15,       5.840,
2016-10-15,       6.371,
2016-11-15,       5.477,
2016-12-15,       6.162,
2017-01-15,       5.123,
2017-02-15,       7.402,
2017-03-15,       6.860,
2017-04-15,       5.252,
2017-05-15,       7.659,
2017-06-15,       7.336,
2017-07-15,       7.424,
2017-08-15,       5.420,
2017-09-15,       6.599,
2017-10-15,       5.701,
2017-11-15,       5.256,
2017-12-15,       7.718,
2018-01-15,       7.336,
2018-02-15,       7.395,
2018-03-15,       7.483,
2018-04-15,       8.844,
2018-05-15,       8.733,
2018-06-15,       7.850,
2018-07-15,       6.628,
2018-08-15,       6.705,
2018-09-15,       5.830,
